,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
634,United States of America,Mozambique,1984,26,"(35.529562, -18.665695)",
635,United States of America,Namibia,1984,22,"(18.49041, -22.95764)",
636,United States of America,Poland,1984,4331,"(19.145136, 51.919438)",
637,United States of America,Romania,1984,4371,"(24.96676, 45.943161)",
638,United States of America,Russian Federation,1984,715,,
639,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1984,8,,
640,United States of America,South Africa,1984,14,"(22.937506, -30.559482)",
641,United States of America,Syrian Arab Rep.,1984,6,,
642,United States of America,Uganda,1984,2,"(32.290275, 1.373333)",
643,United States of America,Various/unknown,1984,33,,
644,United States of America,Viet Nam,1984,24818,,
645,Australia,Various/unknown,1985,14850,,"(133.775136, -25.274398)"
649,Canada,Czech Rep.,1985,748,,"(-106.346771, 56.130366)"
654,Canada,Iran (Islamic Rep. of),1985,511,,"(-106.346771, 56.130366)"
656,Canada,Lao People's Dem. Rep.,1985,358,,"(-106.346771, 56.130366)"
660,Canada,Russian Federation,1985,37,,"(-106.346771, 56.130366)"
661,Canada,Serbia and Kosovo: S/RES/1244 (1999),1985,5,,"(-106.346771, 56.130366)"
665,Canada,Various/unknown,1985,386,,"(-106.346771, 56.130366)"
666,Canada,Viet Nam,1985,4307,,"(-106.346771, 56.130366)"
667,Denmark,Various/unknown,1985,281,,"(9.501785, 56.26392)"
668,Finland,Various/unknown,1985,10,,"(25.748151, 61.92411)"
669,Netherlands,Various/unknown,1985,438,,"(5.291266, 52.132633)"
671,New Zealand,Lao People's Dem. Rep.,1985,79,,"(174.885971, -40.900557)"
672,New Zealand,Viet Nam,1985,141,,"(174.885971, -40.900557)"
673,Norway,Various/unknown,1985,774,,"(8.468946, 60.472024)"
678,Sweden,Czech Rep.,1985,18,,"(18.643501, 60.128161)"
682,Sweden,Iran (Islamic Rep. of),1985,179,,"(18.643501, 60.128161)"
688,Sweden,Various/unknown,1985,6,,"(18.643501, 60.128161)"
689,Sweden,Viet Nam,1985,48,,"(18.643501, 60.128161)"
690,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1985,529,,
691,United States of America,Afghanistan,1985,2234,"(67.709953, 33.93911)",
692,United States of America,Albania,1985,45,"(20.168331, 41.153332)",
693,United States of America,Angola,1985,75,"(17.873887, -11.202692)",
694,United States of America,Bulgaria,1985,130,"(25.48583, 42.733883)",
695,United States of America,Cambodia,1985,19097,"(104.990963, 12.565679)",
696,United States of America,Cuba,1985,135,"(-77.781167, 21.521757)",
697,United States of America,Czech Rep.,1985,981,,
698,United States of America,Dem. Rep. of the Congo,1985,12,,
699,United States of America,Ethiopia,1985,1788,"(40.489673, 9.145)",
700,United States of America,Hungary,1985,530,"(19.503304, 47.162494)",
701,United States of America,Iran (Islamic Rep. of),1985,3492,,
702,United States of America,Iraq,1985,264,"(43.679291, 33.223191)",
703,United States of America,Lao People's Dem. Rep.,1985,5416,,
704,United States of America,Mozambique,1985,7,"(35.529562, -18.665695)",
705,United States of America,Namibia,1985,12,"(18.49041, -22.95764)",
706,United States of America,Nicaragua,1985,3,"(-85.207229, 12.865416)",
707,United States of America,Poland,1985,3145,"(19.145136, 51.919438)",
708,United States of America,Romania,1985,4513,"(24.96676, 45.943161)",
709,United States of America,Russian Federation,1985,640,,
710,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1985,6,,
711,United States of America,South Africa,1985,29,"(22.937506, -30.559482)",
712,United States of America,Syrian Arab Rep.,1985,4,,
713,United States of America,Uganda,1985,8,"(32.290275, 1.373333)",
714,United States of America,Various/unknown,1985,22,,
715,United States of America,Viet Nam,1985,25457,,
716,Australia,Various/unknown,1986,11840,,"(133.775136, -25.274398)"
720,Canada,Czech Rep.,1986,693,,"(-106.346771, 56.130366)"
725,Canada,Iran (Islamic Rep. of),1986,509,,"(-106.346771, 56.130366)"
727,Canada,Lao People's Dem. Rep.,1986,617,,"(-106.346771, 56.130366)"
731,Canada,Russian Federation,1986,38,,"(-106.346771, 56.130366)"
735,Canada,Various/unknown,1986,503,,"(-106.346771, 56.130366)"
736,Canada,Viet Nam,1986,3913,,"(-106.346771, 56.130366)"
